"","Units","scenario","region","sector","subsector","PrimaryFuelCO2Coef.name","year","value","PrimaryFuelCO2Coef","fuel"
"101","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2095,0.126675,0,"global solar resource"
"102","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","solar","global solar resource",2100,0.126096,0,"global solar resource"
"103","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2020,2.86553e-05,0,"onshore wind resource"
"104","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2025,0.000226912,0,"onshore wind resource"
"105","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2030,0.00131088,0,"onshore wind resource"
"106","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2035,0.00404047,0,"onshore wind resource"
"107","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2040,0.0105327,0,"onshore wind resource"
"108","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2045,0.0222862,0,"onshore wind resource"
"109","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2050,0.0375587,0,"onshore wind resource"
"110","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2055,0.0460635,0,"onshore wind resource"
"111","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2060,0.0485923,0,"onshore wind resource"
"112","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2065,0.0457063,0,"onshore wind resource"
"113","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2070,0.0516413,0,"onshore wind resource"
"114","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2075,0.0563627,0,"onshore wind resource"
"115","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2080,0.0601019,0,"onshore wind resource"
"116","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2085,0.0627234,0,"onshore wind resource"
"117","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","wind","onshore wind resource",2090,0.0645629,0,"onshore wind resource"
