scenario,region,direct,transformation,enduse,ghg,Units,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,iron and steel,CO2,MTCO2e,0.087480797,0.082899917,0.049140352,0.059232737,0.033544388,0.003231028,0.000755758,0.000292605,0.00012045,5.58E-05,3.18E-05,2.01E-05,1.38E-05,1.14E-05,9.99E-06,9.84E-06,7.70E-06,6.61E-06,6.11E-06,5.06E-06,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,mining energy use,CO2,MTCO2e,0.14892607,0.1118749,0.196494773,0.22150165,0.108598813,0.011215739,0.002966348,0.001243077,0.000555998,0.000282198,0.000173204,0.000116676,8.52E-05,7.45E-05,7.00E-05,7.38E-05,6.19E-05,5.69E-05,5.62E-05,4.98E-05,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,Passenger Rail,CO2,MTCO2e,0.031778293,0.023968442,0.060728672,0.067277548,0.031830347,0.002761723,0.000505835,0.000166712,6.11E-05,2.64E-05,1.51E-05,9.67E-06,6.80E-06,5.81E-06,5.32E-06,5.51E-06,4.55E-06,4.14E-06,4.07E-06,3.61E-06,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,resid cooling,CO2,MTCO2e,2.062234203,1.718131465,3.100654785,3.506716719,1.644488505,0.144363054,0.031589689,0.011927236,0.004953776,0.002343159,0.001359752,0.000866594,0.000596564,0.000487191,0.000431735,0.000430396,0.000341523,0.000294884,0.000270905,0.000226181,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,coal,electricity,resid others,CO2,MTCO2e,3.106207,2.587917381,4.670313267,5.971198865,3.690946834,0.436244204,0.115090653,0.049424563,0.022496206,0.011532942,0.007116451,0.004816117,0.003521466,0.003054875,0.002877142,0.003050143,0.002570552,0.002357839,0.002305982,0.002025658,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,agricultural energy use,CO2,MTCO2e,3.740010934,4.472392641,5.367296508,5.65567551,4.160056072,2.252547744,1.195981744,0.674766633,0.474598396,0.323400435,0.243339445,0.181966999,0.130054945,0.097430495,0.067786963,0.049907353,0.036704485,0.028832645,0.023668914,0.01980786,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,aluminum,CO2,MTCO2e,1.406021155,1.259173438,1.597148027,1.767603206,1.414267911,0.708972422,0.336277756,0.179702073,0.119882936,0.077317031,0.056339862,0.04131736,0.029064863,0.021470762,0.014658631,0.010612556,0.007698358,0.0059895,0.004888182,0.004085451,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,cement,CO2,MTCO2e,3.266815614,4.298189368,4.196910382,4.162879477,2.425677714,1.026148837,0.452576501,0.225618593,0.138367238,0.082732876,0.057800576,0.040965041,0.028197027,0.020652909,0.014091141,0.010190776,0.007383515,0.005747179,0.00469736,0.003935235,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,chemical energy use,CO2,MTCO2e,0.727445638,1.123686978,1.02669768,1.079291962,0.81942055,0.379905946,0.167920309,0.084553918,0.053573085,0.033286627,0.022941729,0.015860275,0.010474866,0.0073236,0.004780665,0.003322912,0.002316952,0.001734777,0.00136232,0.001095778,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,comm cooling,CO2,MTCO2e,2.037685025,3.130631735,3.95269779,4.823106459,3.554701232,1.98695832,1.048567007,0.624164239,0.460083941,0.322788766,0.249419576,0.18816119,0.133324323,0.096602309,0.065219227,0.046315605,0.03276053,0.0244927,0.018950539,0.015116038,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,comm others,CO2,MTCO2e,10.6378519,16.34361151,20.63528265,26.71093082,20.97875927,12.68712329,7.098524132,4.449392853,3.437939495,2.538557972,2.064451465,1.642146691,1.22684148,0.93905012,0.669691117,0.503400604,0.376636645,0.298345431,0.244553427,0.204655952,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,construction,CO2,MTCO2e,0.965267195,1.367368913,0.678592954,0.6125408,0.499244786,0.325642851,0.202495121,0.124334207,0.095858617,0.070159631,0.053915571,0.039778932,0.027571997,0.019802803,0.013118103,0.009139465,0.006313522,0.004616699,0.003491903,0.002661977,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,Freight Rail,CO2,MTCO2e,0.159202229,0.167257006,0.339098241,0.375146445,0.301159786,0.165016926,0.099630712,0.062564928,0.04663008,0.033045669,0.026751535,0.022053665,0.017570699,0.014722436,0.011419808,0.009384248,0.007724752,0.006823526,0.006328786,0.006025726,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Northern,gas,electricity,industrial energy use,CO2,MTCO2e,15.31910423,17.29646756,20.68491873,24.05147556,20.52192155,13.34516069,9.004961847,6.570921043,5.356958456,4.03398841,3.330335198,2.692461641,2.035148375,1.579061013,1.1171192,0.828349701,0.610243775,0.479158694,0.39267022,0.327670345,,
