"","scenario","region","direct","transformation","enduse","year","value","ghg","Units"
"64","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2060,-0.000597588,"CO2","MTCO2e"
"65","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2060,-0.424104,"CO2","MTCO2e"
"66","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2060,-0.1885789,"CO2","MTCO2e"
"67","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2060,-0.005305569,"CO2","MTCO2e"
"68","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2060,-1.652454e-05,"CO2","MTCO2e"
"69","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2060,-0.0004754827,"CO2","MTCO2e"
"70","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2065,-0.0005722742,"CO2","MTCO2e"
"71","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2065,-0.0002181413,"CO2","MTCO2e"
"72","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2065,-0.0004002931,"CO2","MTCO2e"
"73","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2065,-0.2973307,"CO2","MTCO2e"
"74","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2065,-0.1429364,"CO2","MTCO2e"
"75","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2065,-0.003972103,"CO2","MTCO2e"
"76","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2065,-1.164824e-05,"CO2","MTCO2e"
"77","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2065,-0.0003448513,"CO2","MTCO2e"
"78","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2070,-0.0006159647,"CO2","MTCO2e"
"79","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2070,-0.0002173591,"CO2","MTCO2e"
"80","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2070,-0.0003835826,"CO2","MTCO2e"
