"","scenario","region","direct","transformation","enduse","ghg","Units","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"41","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Large Car and Truck","CO2","MTCO2e",0,0,0,-8.67279108151835e-12,-0.00029437034335006,-0.00554932772783382,-0.0212756805666717,-0.0488412722806908,-0.0601938571678699,-0.0541524017410457,-0.0527117365742159,-0.0534682183086628,-0.0529821528741454,-0.0564730938873893,-0.0565645701466032,-0.056902718047968,-0.058692291427951,-0.0661263436759927,-0.0760158604382028,-0.086620197846961
"42","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Large Car and Truck","N2O_AGR","MTCO2e",0,0,0,4.79480717391999e-09,1.40788660845601e-06,2.1343633362396e-05,6.73367798102791e-05,0.00010817795916433,0.0001081859065792,9.1891712532322e-05,6.84273636564158e-05,5.97409600059059e-05,6.25129969669856e-05,7.55617801992482e-05,0.00010029836881488,0.00013290432309472,0.00017057801171272,0.00021232629282615,0.00025408140631931,0.00030434115553394
"43","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Light truck","CO2","MTCO2e",0,0,0,-6.13938605479652e-11,-0.000978545625728184,-0.011073442748194,-0.0366093589170211,-0.0548042234983445,-0.0453405839736504,-0.0283801737814143,-0.0215017101095912,-0.0189251678636411,-0.0174553007092859,-0.0181965861696984,-0.0182742422347139,-0.0187019125243233,-0.0199037077372556,-0.0233601124584491,-0.0281430434646882,-0.0337069604264073
"44","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Light truck","N2O_AGR","MTCO2e",0,0,0,3.39419824855856e-08,4.68009537423951e-06,4.25902944768398e-05,0.00011586733184237,0.00012138522963868,8.14902452311716e-05,4.81585799870877e-05,2.79122911238619e-05,2.11454155797755e-05,2.05952967386853e-05,2.43472838104672e-05,3.24032637871997e-05,4.36809542652527e-05,5.78463510101653e-05,7.50074146335326e-05,9.40675277552991e-05,0.00011842982977058
"45","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Medium truck","CO2","MTCO2e",0,0,0,-7.48338102382335e-13,-0.00254012522152509,-0.0449260370626914,-0.230380415135031,-0.441734307208666,-0.434138627533141,-0.303843853587565,-0.242287759752197,-0.21700269763073,-0.201040110752266,-0.209771144566742,-0.210813419857939,-0.215827136871105,-0.229734929972993,-0.269648908016166,-0.324872318533607,-0.389119656282814
"46","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Medium truck","N2O_AGR","MTCO2e",0,0,0,4.13723433217109e-10,1.21486704213738e-05,0.0001727929779101,0.00072914590148761,0.00097839211829043,0.00078027365599349,0.00051559545192652,0.00031452412163881,0.00024246084665646,0.00023720477843835,0.00028067669091238,0.00037380717437148,0.00050409471665563,0.00066768099561865,0.00086582063699493,0.00108587885595717,0.00136717681069391
"47","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Mini Car","CO2","MTCO2e",0,0,0,-7.74031269757281e-12,-0.000319117617528134,-0.00496234349128413,-0.0176094259356459,-0.0356471682320796,-0.0378108723915601,-0.0296062628404986,-0.0256909781383085,-0.0235665302155341,-0.0212474148719623,-0.0207469580284662,-0.0191250612253688,-0.0178164927662416,-0.0171336148892519,-0.0181050605992258,-0.0196203817034856,-0.0211666361615906
"48","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Mini Car","N2O_AGR","MTCO2e",0,0,0,4.27928062625585e-09,1.52624552842937e-06,1.90859947890632e-05,5.57332130033716e-05,7.89544933877295e-05,6.79571587649471e-05,5.02391418778636e-05,3.33505594391472e-05,2.63312895701275e-05,2.50695660593933e-05,2.77597166090464e-05,3.39119070368211e-05,4.1612931547896e-05,4.97956016054986e-05,5.81338719899946e-05,6.55807110122249e-05,7.43692426051311e-05
"49","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","mining energy use","CO2","MTCO2e",0,0,-4.26573824433885e-10,-7.745670468984e-10,-0.000141625075444597,-0.000575273035837581,-0.0014452049819677,-0.00197675861988892,-0.00164107878369295,-0.00109421691736334,-0.000818922051814839,-0.000668012635241408,-0.000556963980383659,-0.000517700877227141,-0.000466870663096691,-0.000428224416680827,-0.000407674950424216,-0.000427761571530691,-0.000461666026570361,-0.00049939803346416
"50","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","mining energy use","N2O_AGR","MTCO2e",0,0,0,4.28246293058222e-07,6.77411155523424e-07,2.21290584338585e-06,4.57487417123839e-06,4.37921619851058e-06,2.95030562121302e-06,1.85757579431262e-06,1.06355630845871e-06,7.46664229229077e-07,6.57348262339802e-07,6.92846629368589e-07,8.2800620326478e-07,1.00037329117958e-06,1.18506295943945e-06,1.37375587493602e-06,1.54334479988841e-06,1.75488306735875e-06
"51","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Passenger Rail","CO2","MTCO2e",-3.16718561258025e-10,0,0,0,0,0,-0.00047871381653736,-0.000835242249265638,-0.000668174933830874,-0.000383449696381304,-0.000251115884118172,-0.000187437917957444,-0.00014548071912585,-0.00012793288348038,-0.000109250230776107,-9.60400889391885e-05,-8.87495811455487e-05,-9.14333017670844e-05,-9.77228954159354e-05,-0.000105100235258099
"52","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Passenger Rail","N2O_AGR","MTCO2e",0,0,0,0,0,0,1.51511237233047e-06,1.84996822797976e-06,1.20090511509168e-06,6.50679344546418e-07,3.25984288115104e-07,2.09427609793232e-07,1.7165092885282e-07,1.71175966400509e-07,1.93718787415759e-07,2.24315172425676e-07,2.57933822718924e-07,2.93584869899718e-07,3.2663671178282e-07,3.69270999609724e-07
"53","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","resid cooling","CO2","MTCO2e",-3.1912259450611e-07,1.54807939361422e-07,-4.86510415888301e-07,-9.80766272843646e-07,-0.102690165935535,-0.241533706479241,-0.466969746844408,-0.619823737062515,-0.508553678373849,-0.334358800878982,-0.271619424419319,-0.250599898688506,-0.233910995266477,-0.237148516012743,-0.226234330840296,-0.214380111368796,-0.208090859303855,-0.219365907139324,-0.234278640585973,-0.252306077533434
"54","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","resid cooling","N2O_AGR","MTCO2e",0,0,0,0.00054232396582912,0.00049126198766178,0.00092925674895839,0.00147846744120113,0.00137329195143341,0.00091400710312057,0.00056732826668468,0.00035250077590468,0.00027982656398748,0.00027574874737832,0.00031702461217737,0.00040072363042736,0.00049999300075522,0.00060372865729847,0.00070306991967052,0.00078163472728366,0.00088492790979411
"55","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","resid others","CO2","MTCO2e",-3.69618383878179e-07,1.79304139885509e-07,-5.63493881173387e-07,-2.24350725864307e-06,-0.396148378865964,-1.29265508946919,-2.95220844563664,-4.23618609015221,-3.58425848400211,-2.35836311616857,-1.875577869967,-1.67128844505375,-1.50833694149828,-1.49860065055578,-1.42819140816047,-1.37883857304134,-1.38233662816406,-1.5227883550771,-1.71551112532972,-1.93495298151316
